,Actor,Text,Class,Matt,Trevis,Talesin,Marisha,Orion,Lora,Liam,Sam,Zack,Nongaming,Metagaming,Gaming
39,МАРИША,"(удар молнии) Под этой мирной хрупкой оболочкой скрывается злобный зверь, жаждущий свободы, чьи природные способности даже самых грозных бойцов буквально заставят обмочиться!",2,0,0,0,1,0,0,0,0,0,0,0,1
40,МАРИША,"(лёгкий смешок) Родом из племени Воздуха народа Ашари, Килет выросла с сильной любовью к природе и стихийной магии.",2,0,0,0,1,0,0,0,0,0,0,0,1
41,МАРИША,"Испокон веков долг её народа – защищать истончившиеся барьеры Тал'дорея, где четыре стихийных плана постепенно просачиваются в эту реальность.",2,0,0,0,1,0,0,0,0,0,0,0,1
42,МАРИША,У неё с детства получалось управлять воздухом и превращаться в зверей.,2,0,0,0,1,0,0,0,0,0,0,0,1
43,МАРИША,"Ну, если считать котят и белок-летяг маленькими зверями.",2,0,0,0,1,0,0,0,0,0,0,0,1
44,МАРИША,Я считаю.,2,0,0,0,1,0,0,0,0,0,0,0,1
45,МАРИША,"(прочищает горло) В любом случае это было задолго до того, как её отец, вождь племени Коррен, осознал её потрясающие способности и определил в свои преемницы.",2,0,0,0,1,0,0,0,0,0,0,0,1
46,МАРИША,"Вот так просто и закончилось весёлое детство, сменившись бесконечным запоминанием заклинаний, изучением древних традиций и крайне высокими ожиданиями.",2,0,0,0,1,0,0,0,0,0,0,0,1
47,МАРИША,"Каждый будущий вождь друидов должен отправиться в путешествие, за которое он посетит племена собратьев, чтобы представить себя и получить признание других вождей.",2,0,0,0,1,0,0,0,0,0,0,0,1
48,МАРИША,"Это путешествие называют Араментэ, или Благородное странствие.",2,0,0,0,1,0,0,0,0,0,0,0,1
49,МАРИША,"Когда её отец решил, что она готова, он направил её на путь истинного самопознания.",2,0,0,0,1,0,0,0,0,0,0,0,1
50,МАРИША,"Не зная, когда она вернётся, и вернётся ли.",2,0,0,0,1,0,0,0,0,0,0,0,1
51,МАРИША,По пути с гор к Стилбену она раздумывала над поставленной задачей.,2,0,0,0,1,0,0,0,0,0,0,0,1
52,МАРИША,"Араментэ – это ещё и необходимость показать себя сильным воином, отважным защитником и мудрым участливым лидером.",2,0,0,0,1,0,0,0,0,0,0,0,1
53,МАРИША,"Осознавая это, Килет постоянно думает лишь об одном: достойна ли она?",2,0,0,0,1,0,0,0,0,0,0,0,1
54,ТАЛЕСИН,"Перси был третьим из семи детей, родившихся в знатной семье, что проживала далеко на севере в древнем замке Уайтстоуна.",2,0,0,1,0,0,0,0,0,0,0,0,1
55,ТАЛЕСИН,"С таким количеством родственников, способных принять бразды правления, Перси посвятил себя наукам, инженерному делу и изучению природы.",2,0,0,1,0,0,0,0,0,0,0,0,1
56,ТАЛЕСИН,"Однажды ко двору прибыла таинственная пара, представившаяся лордом и леди Брайарвуд.",2,0,0,1,0,0,0,0,0,0,0,0,1
57,ТАЛЕСИН,"Во время пира в их честь Брайарвуды насильственно завладели замком, убивая или заточая в темницы всех, кто вставал на их пути.",2,0,0,1,0,0,0,0,0,0,0,0,1
58,ТАЛЕСИН,"Перси проснулся в подземелье, закованный в цепи, но его освободила младшая сестра.",2,0,0,1,0,0,0,0,0,0,0,0,1
59,ТАЛЕСИН,"Вместе они бежали, преследуемые людьми Брайарвудов.",2,0,0,1,0,0,0,0,0,0,0,0,1
60,ТАЛЕСИН,"Во время побега в сестру Перси попало несколько стрел, и она упала.",2,0,0,1,0,0,0,0,0,0,0,0,1
61,ТАЛЕСИН,"Перси продолжил бежать и спрыгнул в замерзающую реку, которая отнесла его бесчувственное тело к свободе.",2,0,0,1,0,0,0,0,0,0,0,0,1
62,ТАЛЕСИН,"Он не помнил, как проснулся в рыбацкой лодке.",2,0,0,1,0,0,0,0,0,0,0,0,1
63,ТАЛЕСИН,"Он едва помнил следующие два года, в течение которых он медленно пробирался как можно дальше на юг.",2,0,0,1,0,0,0,0,0,0,0,0,1
64,ТАЛЕСИН,Затем в одну из ночей Перси приснился сон.,2,0,0,1,0,0,0,0,0,0,0,0,1
65,ТАЛЕСИН,"Ревущее облако дыма предложило ему отомстить тем, кто уничтожил его семью.",2,0,0,1,0,0,0,0,0,0,0,0,1
66,ТАЛЕСИН,"Проснувшись, Перси начал создавать своё первое ружьё.",2,0,0,1,0,0,0,0,0,0,0,0,1
67,СЭМ,"О, вы не слышали о Сканлане Шортхалте?",2,0,0,0,0,0,0,0,1,0,0,0,1
68,СЭМ,"Что ж, дамы, следите за юбками, потому что он положил на вас глаз.",2,0,0,0,0,0,0,0,1,0,0,0,1
69,СЭМ,"Талантливый музыкант, мастер перевоплощений, невероятно красивый (по своему мнению) Сканлан исполняет песни почти так же часто, как восхваляет себя.",2,0,0,0,0,0,0,0,1,0,0,0,1
70,СЭМ,"Родившись бедным гномом, Сканлан с помощью неистощимого обаяния и высочайшего тенора обеспечивал деньгами одинокую мать.",2,0,0,0,0,0,0,0,1,0,0,0,1
71,СЭМ,"Однажды его приметил полуорк-импресарио, и Сканлан присоединился к Блистательной странствующей труппе доктора Дрензела.",2,0,0,0,0,0,0,0,1,0,0,0,1
72,СЭМ,Там он учился житейской мудрости и развивал свои превосходные навыки барда.,2,0,0,0,0,0,0,0,1,0,0,0,1
73,СЭМ,"Одиночка большую часть своей жизни, Сканлан так и не смог смириться с жестокой гибелью матери во время нашествия гоблинов.",2,0,0,0,0,0,0,0,1,0,0,0,1
74,СЭМ,"Хотя годы странствий подарили ему, скажем так, богатый опыт общения и взаимодействия с противоположным полом, в глубине души Сканлан жаждет испытать лишь одно чувство, которого никогда не знал: настоящей любви другого гнома.",2,0,0,0,0,0,0,0,1,0,0,0,1
75,СЭМ,"Тем не менее Сканлан считает себя в первую очередь любовником, во вторую – артистом, и в очень отдалённую третью – бойцом.",2,0,0,0,0,0,0,0,1,0,0,0,1
76,СЭМ,"На поле боя он поддерживает спутников, но редко проливает кровь, если только речь не идёт о безопасности подруги-гномки Пайк.",2,0,0,0,0,0,0,0,1,0,0,0,1
77,СЭМ,"Ждите от Сканлана искромётной шутки, весёлой песни и взгляда, от которого тают сердца и дамы падают в обморок.",2,0,0,0,0,0,0,0,1,0,0,0,1
78,ОРИОН,Я вас приветствую.,2,0,0,0,0,1,0,0,0,0,0,0,1
79,ОРИОН,Меня зовут Тибериус Стормвинд.,2,0,0,0,0,1,0,0,0,0,0,0,1
80,ОРИОН,"Я родом из городка Ти'рекс, расположенного в сердце Драконии, выходец из политически значимой семьи.",2,0,0,0,0,1,0,0,0,0,0,0,1
81,ОРИОН,"В возрасте 15 лет я успешно прошёл Обряд чародея, показав невероятные способности к владению магией.",2,0,0,0,0,1,0,0,0,0,0,0,1
82,ОРИОН,"Судьи и высший совет Драконии были восхищены силой моих заклинаний, учитывая мой возраст.",2,0,0,0,0,1,0,0,0,0,0,0,1
83,ОРИОН,В 20 лет я стал самым молодым членом гильдии магов в истории Драконии.,2,0,0,0,0,1,0,0,0,0,0,0,1
84,ОРИОН,"За последующие несколько лет я почти сошёл с ума от множества недостатков членства в гильдии, потому что это весьма скучно.",2,0,0,0,0,1,0,0,0,0,0,0,1
85,ОРИОН,"Однако однажды я оказался в комнате, которую не использовали уже очень давно.",2,0,0,0,0,1,0,0,0,0,0,0,1
86,ОРИОН,В комнате находились стопки книг и карт окружающих городов и территорий всего известного мира.,2,0,0,0,0,1,0,0,0,0,0,0,1
87,ОРИОН,В течение многих месяцев я часто посещал комнату и из легенд узнал о разных артефактах.,2,0,0,0,0,1,0,0,0,0,0,0,1
88,ОРИОН,После долгого периода исследований я составил первый список приглянувшихся предметов.,2,0,0,0,0,1,0,0,0,0,0,0,1
89,ОРИОН,"Я представил свои находки перед высшим советом, и мне ответили, что вся информация в той комнате считается либо выдумкой, либо неразгаданными тайнами, а значит, всё это потеряно навсегда.",2,0,0,0,0,1,0,0,0,0,0,0,1
90,ОРИОН,"Я решил, что подобный ответ неприемлем.",2,0,0,0,0,1,0,0,0,0,0,0,1
91,ОРИОН,"Год спустя я придумал уловку, которая позволила мне получить от городского совета поддержку дипломатической миссии за пределами Драконии, направленной на поддержание мира и укрепление связей.",2,0,0,0,0,1,0,0,0,0,0,0,1
92,ОРИОН,"Путешествие из города в город, обретение друзей и союзников во имя и ради Драконии.",2,0,0,0,0,1,0,0,0,0,0,0,1
93,ОРИОН,"Будучи красным драконорождённым, я находил задачу непростой, но именно в ней я нуждался, чтобы исследовать мир и найти эти артефакты, потому что я чувствовал, что истина была где-то рядом.",2,0,0,0,0,1,0,0,0,0,0,0,1
94,ОРИОН,"Кто-то может сказать, что я потешен, но я считаю подобное несуразицей.",2,0,0,0,0,1,0,0,0,0,0,0,1
95,ОРИОН,"Я гораздо проницательнее, чем многие полагают.",2,0,0,0,0,1,0,0,0,0,0,0,1
96,ОРИОН,Просто иногда не уделяю внимания некоторым вещам.,2,0,0,0,0,1,0,0,0,0,0,0,1
97,ОРИОН,"Также я считаюсь весьма сообразительным, верным, беспечным и, ну, опасным.",2,0,0,0,0,1,0,0,0,0,0,0,1
98,ОРИОН,"Не могу ничего с собой поделать, иногда показываю своё истинное лицо.",2,0,0,0,0,1,0,0,0,0,0,0,1
99,ОРИОН,Но в целом для драконорождённого я весьма дружелюбен.,2,0,0,0,0,1,0,0,0,0,0,0,1
100,ЛИАМ,"Будучи нежеланным в обществе и эльфов, и людей, Вакс'илдан с юных лет научился обходить формальности, предпочитая приглашать себя в ваш дом самостоятельно.",2,0,0,0,0,0,0,1,0,0,0,0,1
101,ЛИАМ,"Как и сестра-близнец Векс'алия, Вакс был рожден от случайной встречи знатного эльфа и женщины-простолюдинки.",2,0,0,0,0,0,0,1,0,0,0,0,1
102,ЛИАМ,"В раннем детстве близнецов воспитывала мать, но затем их отправили к отцу в эльфийскую столицу Сингорн.",2,0,0,0,0,0,0,1,0,0,0,0,1
103,ЛИАМ,"Эльфы приняли их холодно, и это отношение не смягчилось, поэтому в столице они оставались недолго.",2,0,0,0,0,0,0,1,0,0,0,0,1
104,ЛИАМ,Одной осенней ночью близнецы ушли из дома и отправились странствовать.,2,0,0,0,0,0,0,1,0,0,0,0,1
105,ЛИАМ,"После нескольких лет путешествий они решили вернуться к матери и начали обратный путь в земли, где провели юность.",2,0,0,0,0,0,0,1,0,0,0,0,1
106,ЛИАМ,Но вместо родного дома они вернулись на пепелище.,2,0,0,0,0,0,0,1,0,0,0,0,1
107,ЛИАМ,"Их мать пропала, их дом был сожжён дотла.",2,0,0,0,0,0,0,1,0,0,0,0,1
108,ЛИАМ,"Выпытав ответы у горожан, близнецы узнали о том дне, когда появился дракон.",2,0,0,0,0,0,0,1,0,0,0,0,1
109,ЛИАМ,"Потеряв всякую связь с этим местом, Вакс'илдан и его сестра отправились попытать счастья в Тал'дорей.",2,0,0,0,0,0,0,1,0,0,0,0,1
110,ЛИАМ,"Вакс с детства был одиночкой, поэтому быстро научился решать проблемы по-своему – обычно полностью избегая их.",2,0,0,0,0,0,0,1,0,0,0,0,1
111,ЛИАМ,"А когда его способностей избегать неприятностей недостаточно, путь клинков, которому обучили его эльфы, позволяет это компенсировать.",2,0,0,0,0,0,0,1,0,0,0,0,1
112,ЛОРА,"Как и многие полуэльфы, Векс'алия большую часть жизни провела, страдая от неприязни людей, не принимавших её.",2,0,0,0,0,0,1,0,0,0,0,0,1
113,ЛОРА,"Рождённые от человеческой матери и эльфа-отца, который лишь много позже озаботился их существованием, Векс'алия и её брат-близнец Вакс'илдан быстро поняли, что единственные люди, на которых можно положиться в этом мире – это они сами.",2,0,0,0,0,0,1,0,0,0,0,0,1
114,ЛОРА,"В десять лет их забрали у матери и привезли жить в Сингорн, изолированный эльфийский город, послом которого был их отец Он спокойно принял их, но всегда держался с холодной отстранённостью, и после слишком многих лет, полных презрения, близнецы решили оставить позади его безразличие и отправились в путь.",2,0,0,0,0,0,1,0,0,0,0,0,1
115,ЛОРА,"Вакс приспособился к городской жизни, крал мелкие безделушки и обучился воровскому ремеслу, пока Векс оставалась в лесах.",2,0,0,0,0,0,1,0,0,0,0,0,1
116,ЛОРА,Ей нравилось одиночество.,2,0,0,0,0,0,1,0,0,0,0,0,1
117,ЛОРА,"Благодаря выдающейся наблюдательности, она научилась охотиться, выслеживать и стрелять из лука.",2,0,0,0,0,0,1,0,0,0,0,0,1
118,ЛОРА,И благодаря череде судьбоносных событий обрела компаньона – медведя по кличке Тринкет.,2,0,0,0,0,0,1,0,0,0,0,0,1
119,ЛОРА,Он сражается вместе с Векс и отчаянно защищает её.,2,0,0,0,0,0,1,0,0,0,0,0,1
120,ЛОРА,А ещё он милый и профессионально делает массаж.,2,0,0,0,0,0,1,0,0,0,0,0,1
121,МЭТТ,"Привет всем, с возвращением!",0,1,0,0,0,0,0,0,0,0,1,0,0
122,МЭТТ,"Чтобы было легче понять, что происходит: мы играем по пятой редакции ""Подземелий и драконов"".",0,1,0,0,0,0,0,0,0,0,1,0,0
123,МЭТТ,"Мы перешли на неё недавно, после Pathfinder, для тех из вас, кто играет в Pathfinder.",0,1,0,0,0,0,0,0,0,0,1,0,0
124,МЭТТ,"Один из наших игроков играл за стрелка, которого нет в пятой редакции.",0,1,0,0,0,0,0,0,0,0,1,0,0
125,МЭТТ,"Мне пришлось переделать его под пятую редакцию, поэтому просим отнестись с пониманием.",0,1,0,0,0,0,0,0,0,0,1,0,0
126,МЭТТ,В любом случае это должно быть интересно.,0,1,0,0,0,0,0,0,0,0,1,0,0
127,МЭТТ,"Уже два года я веду кампанию для группы из восьми игроков, что само по себе немного безумно.",0,1,0,0,0,0,0,0,0,0,1,0,0
128,МЭТТ,По этой причине мы не всегда полностью следуем правилам.,0,1,0,0,0,0,0,0,0,0,1,0,0
129,МЭТТ,"Но это замечательная группа, играть весело, а ещё не все могут попасть на каждую сессию, но всегда приходит достаточно игроков, чтобы можно было продолжать.",0,1,0,0,0,0,0,0,0,0,1,0,0
130,ЗАК,На всякий случай: у нас небольшая заминка со звуком.,0,0,0,0,0,0,0,0,0,1,1,0,0
131,ЗАК,Где-то через 30 секунд она пропадёт.,0,0,0,0,0,0,0,0,0,1,1,0,0
132,МЭТТ,"Ладно, заминка со звуком.",0,1,0,0,0,0,0,0,0,0,1,0,0
133,МЭТТ,"Скажи нам, когда можно будет говорить.",0,1,0,0,0,0,0,0,0,0,1,0,0
134,ТРЭВИС,"Понятия не имею, что это значит, ""заминка"".",0,0,1,0,0,0,0,0,0,0,1,0,0
135,МЭТТ,Всё в порядке?,0,1,0,0,0,0,0,0,0,0,1,0,0
136,МЭТТ,Уже можно говорить?,0,1,0,0,0,0,0,0,0,0,1,0,0
137,МЭТТ,"Уничтожить, уничтожить.",0,1,0,0,0,0,0,0,0,0,1,0,0
138,СЭМ,"Классно, классно.",0,0,0,0,0,0,0,0,1,0,1,0,0
139,СЭМ,"Звук не работает, поэтому они пойдут смотреть что-то ещё.",0,0,0,0,0,0,0,0,1,0,1,0,0
140,СЭМ,"Ну спасибо, умник.",0,0,0,0,0,0,0,0,1,0,1,0,0
141,МЭТТ,Микрофон работает?,0,1,0,0,0,0,0,0,0,0,1,0,0
142,МЭТТ,Теперь лучше?,0,1,0,0,0,0,0,0,0,0,1,0,0
143,ЗАК,"Лучше, можно продолжать.",0,0,0,0,0,0,0,0,0,1,1,0,0
144,МЭТТ,"Так, хорошо, отлично.",0,1,0,0,0,0,0,0,0,0,1,0,0
145,МЭТТ,Спасибо.,0,1,0,0,0,0,0,0,0,0,1,0,0
146,МЭТТ,"Кое-что перекочевало из Pathfinder в пятую редакцию, первое время будет непривычно и забавно.",0,1,0,0,0,0,0,0,0,0,1,0,0
147,МЭТТ,"У нас много игроков, они замечательные, поэтому мне приходится прилагать усилия, чтобы действие продвигалось, так что это моя вина.",0,1,0,0,0,0,0,0,0,0,1,0,0
148,МЭТТ,"К сожалению, Эшли Джонсон сегодня не сможет присоединиться к нам.",0,1,0,0,0,0,0,0,0,0,1,0,0
149,МЭТТ,"Она играет за Пайк, гномку-жрицу.",0,1,0,0,0,0,0,0,0,0,1,0,0
150,МЭТТ,Будет с нами на следующей неделе.,0,1,0,0,0,0,0,0,0,0,1,0,0
151,МЭТТ,"Сейчас она в Лондоне, получает премию BAFTA, думаю, мы переживём.",0,1,0,0,0,0,0,0,0,0,1,0,0
152,МЭТТ,За игру Last of Us.,0,1,0,0,0,0,0,0,0,0,1,0,0
153,МЭТТ,Невероятно.,0,1,0,0,0,0,0,0,0,0,1,0,0
154,ТРЭВИС,Да!,0,0,1,0,0,0,0,0,0,0,1,0,0
155,МЭТТ,"Да, также на этой неделе пожертвования недоступны, но в ближайшие недели будет возможность задонатить на благо тех, кто помогает создавать это шоу: нашему оператору и съёмочной группе.",0,1,0,0,0,0,0,0,0,0,1,0,0
156,МЭТТ,И половина пожертвований уходит на благотворительность.,0,1,0,0,0,0,0,0,0,0,1,0,0
157,МЭТТ,В благотворительную организацию 826.,0,1,0,0,0,0,0,0,0,0,1,0,0
158,МЭТТ,"Мариша, расскажи про эту организацию.",0,1,0,0,0,0,0,0,0,0,1,0,0
159,МАРИША,Да!,0,0,0,0,1,0,0,0,0,0,1,0,0
160,МАРИША,"826 LA – благотворительная организация, которая организует школьные кружки и помогает детям с творчеством, учит их рассказывать истории, рисовать и всему тому, что близко к Dungeons & Dragons.",0,0,0,0,1,0,0,0,0,0,1,0,0
161,МАРИША,"Вам обязательно стоит посетить ТЦ ""Путешествие во времени"", один есть в Эхо-Парке и ещё один в Мар Виста.",0,0,0,0,1,0,0,0,0,0,1,0,0
162,МАРИША,"У них замечательный магазин, где можно купить все эти классные безделушки и другие вещи, выручка от которых пойдёт на благотворительность и поддержку стрима.",0,0,0,0,1,0,0,0,0,0,1,0,0
163,МАРИША,И он шикарен.,0,0,0,0,1,0,0,0,0,0,1,0,0
164,МАРИША,"Называется 826LA, поищите на досуге.",0,0,0,0,1,0,0,0,0,0,1,0,0
165,МАРИША,Их несколько по всей стране.,0,0,0,0,1,0,0,0,0,0,1,0,0
166,МЭТТ,Да.,0,1,0,0,0,0,0,0,0,0,1,0,0
167,МЭТТ,"Также упомяну, так как видел пару человек, спрашивающих об этом в чате.",0,1,0,0,0,0,0,0,0,0,1,0,0
168,МЭТТ,"Записи этих стримов будут доступны на YouTube-канале Geek & Sundry уже скоро, как и подробная предыстория нашей команды.",0,1,0,0,0,0,0,0,0,0,1,0,0
169,МЭТТ,"Мы выложим все эти материалы, чтобы вам не пришлось всё это запоминать.",0,1,0,0,0,0,0,0,0,0,1,0,0
170,МЭТТ,"Может, страничку с описаниями.",0,1,0,0,0,0,0,0,0,0,1,0,0
171,МЭТТ,Не знаю.,0,1,0,0,0,0,0,0,0,0,1,0,0
172,МЭТТ,Что-нибудь придумаем.,0,1,0,0,0,0,0,0,0,0,1,0,0
173,МЭТТ,Всё будет нормально.,0,1,0,0,0,0,0,0,0,0,1,0,0
174,МЭТТ,"Так вот, давайте начнём.",0,1,0,0,0,0,0,0,0,0,1,0,0
175,МЭТТ,"Вы знаете, кто я.",0,1,0,0,0,0,0,0,0,0,1,0,0
176,МЭТТ,"Мэттью Мёрсер, актёр озвучки, а ещё веду эту игру уже два года.",0,1,0,0,0,0,0,0,0,0,1,0,0
177,МЭТТ,Я хардкорный нёрд.,0,1,0,0,0,0,0,0,0,0,1,0,0
178,МЭТТ,"Давайте представим игроков за столом, чтобы вы смогли сопоставить лица с интро, которое только что увидели.",0,1,0,0,0,0,0,0,0,0,1,0,0
179,МЭТТ,"Давайте начнём с этой стороны, с Трэвиса.",0,1,0,0,0,0,0,0,0,0,1,0,0
180,ТРЭВИС,О!,0,0,1,0,0,0,0,0,0,0,1,0,0
181,ТРЭВИС,Привет.,0,0,1,0,0,0,0,0,0,0,1,0,0
182,ТРЭВИС,"Я Трэвис Уиллингхэм, актёр озвучки, геймер.",0,0,1,0,0,0,0,0,0,0,1,0,0
183,ТРЭВИС,"Я играю за Грога, голиафа-варвара.",0,0,1,0,0,0,0,0,0,0,1,0,0
184,ЛОРА,Привет.,0,0,0,0,0,0,1,0,0,0,1,0,0
185,ЛОРА,Я Лора Бейли.,0,0,0,0,0,0,1,0,0,0,1,0,0
186,ЛОРА,"Я тоже, ну знаете, актриса озвучки, как и все здесь.",0,0,0,0,0,0,1,0,0,0,1,0,0
187,ТРЭВИС,"Да, все мы такие.",0,0,1,0,0,0,0,0,0,0,1,0,0
188,ЛОРА,И я играю за Векс'алию.,0,0,0,0,0,0,1,0,0,0,1,0,0
189,ЛОРА,За шикарнейшую цыпочку.,0,0,0,0,0,0,1,0,0,0,1,0,0
190,МЭТТ,За следопытку с медведем.,1,1,0,0,0,0,0,0,0,0,0,1,0
191,ЛОРА,"За следопытку с медведем по имени Тринкет, если кто не услышал.",1,0,0,0,0,0,1,0,0,0,0,1,0
192,ЛОРА,"Его зовут Тринкет, и он замечательный.",1,0,0,0,0,0,1,0,0,0,0,1,0
193,ЛИАМ,"Привет, я Лиам О'Брайен.",0,0,0,0,0,0,0,1,0,0,1,0,0
194,ЛИАМ,Играю за Вакс'илдана.,0,0,0,0,0,0,0,1,0,0,1,0,0
195,ЛИАМ,Она моя сестра.,1,0,0,0,0,0,0,1,0,0,0,1,0
196,ЛИАМ,Мы полуэльфы-близнецы.,1,0,0,0,0,0,0,1,0,0,0,1,0
197,ЛИАМ,"Ещё я начал играть в D&D, когда мне было 13, и мне сложно поверить, что это происходит.",0,0,0,0,0,0,0,1,0,0,1,0,0
198,ЛИАМ,Так что ...,0,0,0,0,0,0,0,1,0,0,1,0,0
199,ЛИАМ,Выпьем.,0,0,0,0,0,0,0,1,0,0,1,0,0
200,ЛИАМ,Выпьем за это.,0,0,0,0,0,0,0,1,0,0,1,0,0
201,ТАЛЕСИН,Меня зовут Талесин Джаффе.,0,0,0,1,0,0,0,0,0,0,1,0,0
202,ТАЛЕСИН,"Я актёр озвучки, режиссёр, когда-то играл в некое подобие Dungeons & Dragons и, если вы ещё не поняли по моему чёрному наряду, много играл в Vampire the Masquerade, когда был подростком.",0,0,0,1,0,0,0,0,0,0,1,0,0
203,ТАЛЕСИН,Это было проблемой.,0,0,0,1,0,0,0,0,0,0,1,0,0
